	User	Location	Tweet	Date/Time of Tweet
0	awri125		@NastyRezurekD @ElizabethEThorp @SenSanders go away and look it up. he hurt climate change by grossly exaggerating… https://t.co/9W5adyDEof	2020-03-02 03:46:17
1	OisforOttilie	England, United Kingdom	RT @nadinebh_: For me to drive from London to Manchester and back it’ll cost me about £25-30 in petrol - to get a train it’s about £70/80 a…	2020-03-02 03:46:17
2	LaMalinchista	Angeleno --- Veracruzana | 28	RT @REBIRTHAnth: Good morning, all! Have you backed REBIRTH Anthology on Kickstarter? This is an inspiring and hopeful book that educates o…	2020-03-02 03:46:17
3	GreenAcademykz	Nur-Sultan	"Workshop on ""SEA INTEGRATION FOR CLIMATE CHANGE ADAPTATION"" will be held on 3rd March, 2020  at 15.00 in KazEnergy"	2020-03-02 03:46:15
4	IcyMigo		RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:46:12
5	decarlo		"RT @johncusack: 500 thou a year go bankrupt medical bills - vast homeless 
people work 2-3 jobs &amp; can’t afford food / rent money 
live pay…"	2020-03-02 03:46:11
6	DejaDolla	Flavortown, USA	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:46:09
7	afueguix2		RT @nytimes: Reducing your meat and dairy intake can help mitigate climate change. Melissa Clark’s personal guide to eating less meat and d…	2020-03-02 03:46:09
8	rjber15	Wichita, Kansas	RT @HumanistReport: We have a decade to take drastic action on climate change. Bernie has the momentum and your presence in the race is hur…	2020-03-02 03:46:03
9	MauiWowii	San Francisco	"#coronavirus #COVID19 #coronavirusus #COVIDー19 #ThankYouPete #EnemyOfThePeople #SundayThoughts @dnc @maddow 

TAKE… https://t.co/xUNqs2FUQV"	2020-03-02 03:46:01
10	7moniquec	Florida, USA	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:46:00
11	Trolljegeren2	Kickassistan	RT @TheUSASingers: A political &amp; ideological revolution seems justifiable when faced with kids ripped from their families &amp; thrown in cages…	2020-03-02 03:45:59
12	TheSagest	Massachusetts, Boston and Environs	RT @hella_drella: just a quick reminder that not voting just because your exact person didn't get the nomination is climate change denial.…	2020-03-02 03:45:59
13	lucastrann	Arcadia, CA	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:45:58
14	SamLawr31081165		RT @PeteButtigieg: .@TomSteyer, thank you for your passion and your advocacy. This election has been made better by your voice on climate c…	2020-03-02 03:45:58
15	stanbillyjoel	cam they/them 18 	omg remeber when people were freaking out because someone took a picture of the hill during winter months( i think?… https://t.co/c1aDkAIuhX	2020-03-02 03:45:57
16	foulds_molly	Connecticut, USA	RT @BernieSanders: Thank you @TomSteyer for running a campaign to bring the crisis of climate change to the forefront of our national conve…	2020-03-02 03:45:57
17	clairenowakk	❓	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:45:55
18	_sebas_	Kansas City, MO	@lisalaurenhere @OneNewLeader @MalcolmNance @HawaiiDelilah I get it, we need peace and healing as a nation. But lot… https://t.co/QIc8qdiS4e	2020-03-02 03:45:53
19	deriz_no_bot	Planet	Climate Change will not affect me at all where I am. May even turn out to be good.	2020-03-02 03:45:52
20	RizzleRich	Los Angeles, CA	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:45:51
21	JSiffordson	Dystopian Hellscape, aka America	@mtracey Psst sanders is Reptoid alien trying to turn earth into a hot house planet for his kind by accelerating cl… https://t.co/3Jp1vDxGqX	2020-03-02 03:45:48
22	ken_crichlow	Brooklyn	"RT @pmagn: Coming to a place near u on the coast..

UK’s first climate change refugees? 
https://t.co/Vk4rSBHEsM"	2020-03-02 03:45:46
23	canegrad05	Orlando, FL	"RT @jxeker: congratulations to everyone that completed the second month of 2020, in total you’ve survived:

- world war III threats
- a wor…"	2020-03-02 03:45:45
24	AiryneeJ_	Memphis, TN	RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:45:44
25	MaryInMinnesota		Climate change is drying up the Colorado River, putting millions at risk of 'severe water shortages' https://t.co/lsIrujXWXi via @KSLcom	2020-03-02 03:45:38
26	JinokAnderson		RT @HumanistReport: We have a decade to take drastic action on climate change. Bernie has the momentum and your presence in the race is hur…	2020-03-02 03:45:37
27	ChickieVurch	Daytona Beach, FL USA	@TeresaManning_1 @SaraCarterDC Because ALL he cares about is CLIMATE CHANGE - remember his failed presidential campaign?	2020-03-02 03:45:37
28	John_Aspray	Des Moines, IA	RT @fwaction: .@MikeBloomberg has been rated as one of the worst Democratic candidates on climate change by environmental organizations.…	2020-03-02 03:45:36
29	hannuggetss		"RT @jxeker: congratulations to everyone that completed the second month of 2020, in total you’ve survived:

- world war III threats
- a wor…"	2020-03-02 03:45:36
30	babyygaill		RT @MEENAVOGUEE: What an incredible set at Balenciaga Fall 2020– representing climate change that’s happening around the world. #PFW https:…	2020-03-02 03:45:35
31	DancyGeorgia		"RT @TheTNHoller: NEW: “federal judge rules Ken Cuccinelli acting dir of Citizenship &amp; Immigration was unlawfully appointed”

Ken fights mar…"	2020-03-02 03:45:35
32	Jiswitty	Kansas	RT @davidsirota: I told this to @TomSteyer (who I think is a good guy) when he visited Denver a few years back, and I’m gonna say it again:…	2020-03-02 03:45:32
33	ChuckSherwood1	Beverly Hills, FL 	Opinion | Why billionaire philanthropists like Jeff Bezos can't fix the planet (or even want to) https://t.co/0yEezJd8bs via @NBCNewsTHINK	2020-03-02 03:45:30
